,label,comment
0,0,一如既往 好吃 希望 城市
1,0,味道 不错 分量足 客人 很多 满意
2,0,下雨天 没有 想象 火爆 环境 非常 干净 古色古香 服务行业 觉得 服务 非常 场地 脏 马上 阿姨 打扫
3,0,真心 不好吃 基本上 好多 味道
4,0,少送 一个 牛肉 汉堡 不好吃 特别 鸡肉 不想 评论 知道
5,0,用美团 打折
6,0,好难 吃水 鸡杂
7,0,环境 很好 服务 热情 味道 非常 新鲜 儿子 包子 饺子 好吃
8,0,一如既往 好吃 喜欢 全翅
9,0,四个 吃饱 阔以
10,0,蛋糕 好吃 送货 及时 服务 一流 下次 机会 继续
11,0,不好吃 脆香 鸡排 煲仔饭 卤蛋 ## 秘制 小炒 煲仔饭 卤蛋 太辣 功夫 鸡腿肉 煲仔饭 卤蛋 没味
12,1,恶心 不想 嘴里 两下 觉得 口感 吐出来 蟑螂 关键 两口 昨天 恶心 现在 饮食 行业 麻烦 注意 卫生
13,0,难吃 一个 一个
14,0,价格 实惠 服务态度 很好 分量 超足 入口 入味 超辣 推荐
15,0,喜欢 地方 菜品 味道 不错 最好 点个 鸳鸯锅 锅底
16,0,真的 不错 朋友 外地 特意 回去 东西 觉得 重庆火锅 好吃 特别 喜欢 地方 特别 重庆 火锅 价格 实惠 服务态度 不错 里面 太热
17,0,好吃 强力 推荐 香菜 牛肉 招牌菜 名不虚传
18,0,味道 不错 份量 不足
19,1,真的 两次 觉得 今天 菠萝包 里头 奶油 臭了 完全 不能
20,0,第二次 味道 还可以 金港 国际 里面 逛累
21,1,里面 居然 虫 恶心 不想 差评
22,1,一个 星星 完全 外卖 小哥 女朋友 外卖 心疼 芒果 不能 女朋友 拉肚子 分量 如图 美团 顾客 第一次 外卖 差评
23,1,比萨 虫子 这是 商家
24,0,小时 东西
25,0,东西 没有 加完
26,0,性价比 比较 口味 适合 菜品 干净 多次
27,0,东西 不错 蛋糕 好吃 以后 还会 芒果 千层 哈哈
28,0,一如既往 喜欢 他家 掌中宝 地瓜 闺蜜 电影 买来 肚子
29,0,挺好吃 特别 服务态度 环境 干净
30,0,老板 热情 餐馆 干净 口味 不错 下次
31,0,环境 很好 团购 享受 包房 已到 他家 多次 菜品 丰富 份量 包间 专门 服务员 不错 机会 还会来
32,0,多次 几天 不吃 正宗 火锅 味道 毛肚 很巴适 特别 推荐 他家 麻辣 牛肉 安逸 得板 位置 有点 桌子 太少 预订 经常
33,0,不好吃
34,0,好吃 不错 漂亮 高端
35,0,味道 非常 不错 四个 一女
36,0,还可以 来得 时候 没有 态度
37,0,不错
38,0,不错 几次 便宜 服务态度 不错
39,0,exo 这是 大份 平常 店里 吃小份 多好 欺骗 消费者
40,0,量足 味道 不错
41,0,真的 超级 划算 分量 男朋友 两个 位置 不好 地点 网吧 里面 里面 指示牌
42,0,环境 很好 味道 不错 价格 不贵 菜品 新鲜
43,0,味道 特别 已经 几次
44,1,味道 拉肚子 真的
45,0,味道 很好 药膳 味道 感觉 很补
46,0,感觉 味道 不错 团购 确实 便宜
47,1,室友 一起 拉肚子 今天 第二天 三次
48,0,团购 划算 自家 好吃 套餐 不能
49,0,开车 过来 味道 环境 不错 以后 聚餐 这家
50,0,明明 两份 稀饭 看不到 再也 不买
51,0,毛血旺 一盆 豆芽 从来不 评价 实在 忍不住 本来 饿死 现在 胃口 面包
52,1,鲜切 海南 香蕉 反胃 整晚 干呕 鲜切 苹果 难吃 网购 第一次 差评 放心 明天 一定
53,0,环境 不错 服务 不错 味道 不错
54,0,服务 不错 味道 有点 欠佳 速度 比较慢
55,0,三个 难吃
56,0,划算 好吃 送货
57,1,卧槽 绝对 地沟油 黑色
58,0,非常 好吃 老板 非常 大方 完后 一份 醪糟 汤圆
59,0,酸菜 啥子 根本 没有 昨晚 好吃
60,0,正宗 幸福 西饼 特别 难吃
61,0,讲真 味道 不怎么样
62,0,一直 她家 羊肉 味道 正宗 好吃 强烈推荐
63,0,顾客 汤锅 很赞 炒菜 超赞
64,0,喜欢 喜欢 喜欢 便宜 划算
65,0,味道 很好 虾肉 更是 好吃 螃蟹 有点
66,0,味道 很好 不错
67,0,一口 不想 难吃 变味 知道
68,0,味道 非常 不错 这家 老客户
69,0,炒饭 居然 吵糊 可能 重庆 天气 太热
70,1,我勒个 一半 吃掉 一只 蟑螂 刚想 一下 看着 恶心
71,0,菜品 新鲜 份量
72,0,好喝 妹妹 态度 也好 去过 几次 爱喝 奶茶
73,0,排队 很多 牛排 有点 配菜 好评
74,1,一点 芝士 没有 难吃 配送 一点 开心
75,0,辣鸡 两口
76,0,好多 大厅 味道 不错 值得
77,0,很棒 猫猫 可爱 老板 热情 放松 地方
78,0,第二次 消费 服务 菜品 不错 团购 性价比 高些 烤鸭 味道 一家人 开心
79,0,菜品 不错 服务周到 味道 素菜
80,0,味道 几次 关键 态度 不会 团购 态度 不好
81,0,第二次 榴莲 披萨 意面 不错
82,0,非常 满意 一次 就餐 服务员 态度 非常 上菜 速度 非常 下次 还会 鲁西 肥牛 我爱你
83,0,巧克力 好看 性价比
84,0,一如既往 好喝 方便 排队 下次 还会来
85,0,全是 海椒 好吃
